department_id,request_type_id
9,69
6,64
5,98
1,70
1,19
5,44
1,18
7,88
1,72
8,87
3,47
5,89
2,64
10,15
5,50
4,92
1,86
4,87
9,67
10,26
5,37
3,31
9,59
8,6
4,77
1,27
6,100
5,35
2,17
3,66
1,12
3,84
2,69
3,12
1,13
6,73
1,50
10,15
8,75
7,19
3,59
8,28
2,27
9,19
7,87
9,87
2,97
4,74
9,60
4,54
5,30
8,46
4,77
3,78
2,39
1,14
2,72
3,16
4,18
10,66
5,20
7,56
10,66
4,92
2,47
8,75
9,44
10,12
1,53
6,23
8,100
9,63
2,87
1,73
8,16
8,7
2,85
10,15
10,73
2,40
2,36
2,100
5,53
7,57
6,18
6,94
2,32
3,40
8,53
8,67
9,36
2,17
2,27
7,5
5,55
5,25
8,32
3,51
8,8
9,20
