request_id,stakeholder_id
567,448
145,734
196,836
246,21
395,51
564,23
422,790
204,613
959,498
78,625
428,5
464,726
608,708
75,223
742,539
734,928
624,248
691,322
879,289
793,688
944,661
63,231
945,881
241,549
29,927
518,518
889,116
6,439
845,995
651,396
970,367
338,627
984,293
360,732
45,310
223,622
930,294
648,284
386,324
844,505
59,65
288,763
919,536
87,404
139,477
791,452
52,378
72,43
179,206
489,857
2,977
997,990
947,855
508,214
722,828
987,602
351,259
402,268
659,890
197,152
364,565
948,88
708,126
920,895
262,84
589,458
33,44
985,894
382,724
632,145
867,538
830,737
666,581
27,588
95,909
4,481
423,536
81,227
933,654
368,237
954,229
497,21
359,281
93,284
236,87
598,445
728,403
986,760
687,279
316,373
74,265
943,125
981,69
819,833
330,526
471,45
254,670
137,909
643,195
831,598
